enqueue_latency_ns,dequeue_latency_ns
96824.1,1159.93
199.988,19.9988
59.9964,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,29.9982
49.997,19.9988
49.997,19.9988
229.986,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
59.9964,19.9988
59.9964,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
219.987,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,29.9982
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
119.993,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,29.9982
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
219.987,19.9988
39.9976,19.9988
49.997,29.9982
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
59.9964,19.9988
69.9958,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
249.985,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,29.9982
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
129.992,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,29.9982
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
219.987,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,29.9982
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
109.993,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,29.9982
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
259.984,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,29.9982
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
129.992,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
59.9964,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,29.9982
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
229.986,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,29.9982
49.997,19.9988
39.9976,19.9988
49.997,19.9988
129.992,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
109.993,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,29.9982
49.997,19.9988
49.997,19.9988
249.985,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
39.9976,19.9988
49.997,19.9988
