latencies
3600.05
70.0009
180.002
60.0008
160.002
150.002
40.0005
40.0005
40.0005
31930.4
60.0008
40.0005
40.0005
40.0005
50.0007
40.0005
70.0009
40.0005
40.0005
150.002
50.0007
60.0008
40.0005
40.0005
40.0005
50.0007
40.0005
40.0005
40.0005
2300.03
60.0008
40.0005
40.0005
60.0008
40.0005
50.0007
50.0007
50.0007
40.0005
130.002
40.0005
50.0007
60.0008
40.0005
40.0005
40.0005
60.0008
40.0005
40.0005
6740.09
50.0007
60.0008
40.0005
40.0005
40.0005
50.0007
40.0005
50.0007
40.0005
140.002
60.0008
40.0005
60.0008
40.0005
40.0005
50.0007
40.0005
40.0005
40.0005
140.002
30.0004
30.0004
40.0005
40.0005
40.0005
40.0005
40.0005
40.0005
60.0008
110.001
60.0008
60.0008
60.0008
60.0008
40.0005
40.0005
40.0005
40.0005
40.0005
90.0012
60.0008
40.0005
50.0007
40.0005
40.0005
40.0005
40.0005
60.0008
60.0008
90.0012
